setting_type,method,model_name,auxiliary_data,entity_precision,entity_recall,entity_f1,token_f1_macro,token_f1_weighted,token_accuracy,train_time_seconds,loss,num_train_epochs,is_best
transfer,uvisd4sa_then_complaint,vinai/phobert-base-v2,uvisd4sa,0.5338078291814946,0.4225352112676056,0.4716981132075472,0.9137113852566473,0.9137113852566473,0.8515664160401003,1256.2875859737396,,,True
transfer,aux_all_then_complaint,vinai/phobert-base-v2,,0.5033112582781457,0.428169014084507,0.4627092846270929,0.912856374394836,0.912856374394836,0.8506265664160401,1712.6590557098389,,,False
direct,phobert_weighted_ce,vinai/phobert-base-v2,none,0.4899328859060403,0.4112676056338028,0.447166921898928,0.9107136842814322,0.9107136842814322,0.8471177944862155,,weighted_ce,5.0,False
direct,mbert_ce,bert-base-multilingual-cased,none,0.4820143884892086,0.3774647887323943,0.4233807266982622,0.9003679978192722,0.9003679978192722,0.8291703276013556,,ce,5.0,False
transfer,causasent_then_complaint,vinai/phobert-base-v2,causasent,0.4560260586319218,0.39436619718309857,0.4229607250755287,0.9091031692515172,0.9091031692515172,0.8447368421052631,1082.2784249782562,,,False
direct,xlm_roberta_ce,xlm-roberta-base,none,0.51440329218107,0.352112676056338,0.4180602006688963,0.9096306291111488,0.9096306291111488,0.8452231695085256,,ce,5.0,False
direct,phobert_ce,vinai/phobert-base-v2,none,0.4797047970479705,0.3661971830985915,0.4153354632587859,0.9098023342103488,0.9098023342103488,0.8449874686716792,,ce,5.0,False
